point_id,|knn_neighbors|,knn_neighbors_id,|rnn_neighbors|,rnn_neighbors_id
0.0,20.0,166;194;119;49;40;178;33;41;135;46;115;198;112;170;64;171;19;146;102;125;,0.0,
147.0,20.0,35;132;162;187;101;45;3;190;117;174;4;65;179;114;150;48;95;85;44;56;,20.0,35;132;162;187;101;45;3;190;117;174;4;65;179;114;150;48;95;85;44;56;
148.0,20.0,39;58;98;86;153;71;167;173;100;52;149;165;9;29;111;126;1;8;15;116;,20.0,39;58;98;86;153;71;167;173;100;52;149;165;9;29;111;126;1;8;15;116;
149.0,20.0,165;9;29;71;111;86;1;8;15;116;58;39;148;98;121;191;153;84;7;167;,20.0,165;9;29;71;111;86;1;8;15;116;58;39;148;98;121;191;153;84;7;167;
150.0,20.0,48;95;65;4;56;117;45;101;132;35;31;81;147;193;2;162;187;183;3;190;,20.0,48;95;65;4;56;117;45;101;132;35;31;81;147;193;2;162;187;183;3;190;
151.0,20.0,83;99;59;94;152;73;6;158;38;10;144;62;42;138;80;97;169;78;120;47;,20.0,83;99;59;94;152;73;6;158;38;10;144;62;42;138;80;97;169;78;120;47;
152.0,20.0,59;83;151;99;94;73;158;10;144;6;62;138;38;169;47;42;105;80;134;97;,20.0,59;83;151;99;94;73;158;10;144;6;62;138;38;169;47;42;105;80;134;97;
153.0,20.0,98;148;167;39;173;58;100;86;52;71;149;165;126;9;29;111;1;8;15;116;,20.0,98;148;167;39;173;58;100;86;52;71;149;165;126;9;29;111;1;8;15;116;
154.0,20.0,70;139;88;55;66;118;53;25;14;127;37;51;13;110;76;164;89;67;50;30;,20.0,70;139;88;55;66;118;53;25;14;127;37;51;13;110;76;164;89;67;50;30;
155.0,20.0,189;180;140;181;106;176;36;57;129;125;163;102;175;54;77;146;64;122;112;198;,20.0,189;180;140;181;106;176;36;57;129;125;163;102;175;54;77;146;64;122;112;198;
156.0,20.0,23;68;91;141;44;85;114;179;61;177;174;190;3;187;90;162;87;147;35;132;,20.0,23;68;91;141;44;85;114;179;61;177;174;190;3;187;90;162;87;147;35;132;
157.0,20.0,79;196;75;96;185;131;145;21;168;137;109;93;104;143;16;184;188;30;67;164;,20.0,79;196;75;96;185;131;145;21;168;137;109;93;104;143;16;184;188;30;67;164;
158.0,20.0,10;144;62;138;169;152;47;59;105;83;151;134;192;159;133;99;94;73;34;6;,20.0,10;144;62;138;169;152;47;59;105;83;151;134;192;159;133;99;94;73;34;6;
159.0,20.0,133;192;134;105;47;34;169;138;32;62;144;24;10;26;108;158;18;128;103;152;,20.0,133;192;134;105;47;34;169;138;32;62;144;24;10;26;108;158;18;128;103;152;
160.0,20.0,182;82;123;124;60;122;11;77;54;175;163;69;57;106;140;195;189;155;20;180;,20.0,182;82;123;124;60;122;11;77;54;175;163;69;57;106;140;195;189;155;20;180;
161.0,20.0,172;22;27;142;12;199;72;74;17;197;113;92;63;130;186;5;188;184;16;143;,20.0,172;22;27;142;12;199;72;74;17;197;113;92;63;130;186;5;188;184;16;143;
162.0,20.0,187;3;190;147;174;35;132;101;45;117;179;114;4;85;65;44;150;48;95;56;,20.0,187;3;190;147;174;35;132;101;45;117;179;114;4;85;65;44;150;48;95;56;
163.0,20.0,57;175;54;77;106;122;140;124;189;155;82;180;182;160;181;123;176;36;129;125;,20.0,57;175;54;77;106;122;140;124;189;155;82;180;182;160;181;123;176;36;129;125;
164.0,20.0,67;76;110;51;30;37;127;14;53;66;104;55;88;139;154;109;137;21;70;185;,20.0,67;76;110;51;30;37;127;14;53;66;104;55;88;139;154;109;137;21;70;185;
165.0,20.0,149;9;29;71;111;86;1;8;15;116;58;39;148;121;98;191;84;153;7;167;,20.0,149;9;29;71;111;86;1;8;15;116;58;39;148;121;98;191;84;153;7;167;
166.0,20.0,0;194;119;49;40;178;41;33;135;46;115;198;112;170;64;171;19;146;102;125;,20.0,0;194;119;49;40;178;41;33;135;46;115;198;112;170;64;171;19;146;102;125;
167.0,20.0,173;100;153;52;98;148;39;58;86;126;71;149;165;9;29;111;1;8;15;116;,20.0,173;100;153;52;98;148;39;58;86;126;71;149;165;9;29;111;1;8;15;116;
168.0,20.0,145;131;93;196;79;157;75;143;96;185;16;184;188;21;137;109;104;5;186;30;,20.0,145;131;93;196;79;157;75;143;96;185;16;184;188;21;137;109;104;5;186;30;
169.0,20.0,138;47;62;105;144;134;192;10;159;158;133;34;152;59;32;24;83;151;26;108;,20.0,138;47;62;105;144;134;192;10;159;158;133;34;152;59;32;24;83;151;26;108;
170.0,20.0,115;171;19;43;136;33;178;103;128;18;49;0;166;194;119;40;41;108;26;135;,20.0,115;171;19;43;136;33;178;103;128;18;49;0;166;194;119;40;41;108;26;135;
171.0,20.0,19;43;170;136;115;103;128;33;178;18;49;0;166;194;119;108;26;40;24;41;,20.0,19;43;170;136;115;103;128;33;178;18;49;0;166;194;119;108;26;40;24;41;
172.0,20.0,22;161;27;142;12;199;92;72;74;17;197;113;63;130;186;5;188;184;16;143;,20.0,22;161;27;142;12;199;92;72;74;17;197;113;63;130;186;5;188;184;16;143;
173.0,20.0,100;167;52;153;98;148;39;58;86;126;71;149;165;9;29;111;1;8;15;116;,20.0,100;167;52;153;98;148;39;58;86;126;71;149;165;9;29;111;1;8;15;116;
174.0,20.0,190;3;187;162;179;114;147;35;132;85;44;101;45;117;4;65;150;23;48;95;,20.0,190;3;187;162;179;114;147;35;132;85;44;101;45;117;4;65;150;23;48;95;
175.0,20.0,54;77;163;57;122;106;124;140;189;155;82;182;160;123;180;181;176;36;60;129;,20.0,54;77;163;57;122;106;124;140;189;155;82;182;160;123;180;181;176;36;60;129;
176.0,20.0,36;181;129;125;180;102;146;155;64;189;112;140;198;46;106;135;57;163;175;54;,20.0,36;181;129;125;180;102;146;155;64;189;112;140;198;46;106;135;57;163;175;54;
177.0,20.0,61;90;87;7;141;84;191;91;68;121;116;15;8;156;1;111;23;29;9;44;,20.0,61;90;87;7;141;84;191;91;68;121;116;15;8;156;1;111;23;29;9;44;
178.0,20.0,33;49;115;0;170;166;194;119;171;19;43;136;40;103;41;128;135;18;46;198;,20.0,33;49;115;0;170;166;194;119;171;19;43;136;40;103;41;128;135;18;46;198;
179.0,20.0,114;174;85;44;190;3;187;162;147;35;132;23;101;45;117;4;156;65;150;48;,20.0,114;174;85;44;190;3;187;162;147;35;132;23;101;45;117;4;156;65;150;48;
180.0,20.0,181;155;176;189;36;129;140;125;102;146;106;64;57;112;163;198;175;54;77;46;,20.0,181;155;176;189;36;129;140;125;102;146;106;64;57;112;163;198;175;54;77;46;
181.0,20.0,180;176;36;129;155;125;102;189;146;140;64;106;112;198;57;46;163;175;54;77;,20.0,180;176;36;129;155;125;102;189;146;140;64;106;112;198;57;46;163;175;54;77;
182.0,20.0,160;82;123;124;60;122;11;77;54;175;163;69;57;106;140;195;189;155;20;180;,20.0,160;82;123;124;60;122;11;77;54;175;163;69;57;106;140;195;189;155;20;180;
183.0,20.0,107;28;2;193;81;31;20;195;56;69;95;48;150;11;60;65;4;123;160;182;,20.0,107;28;2;193;81;31;20;195;56;69;95;48;150;11;60;65;4;123;160;182;
184.0,20.0,188;16;143;93;168;5;145;131;186;196;79;157;75;96;185;130;63;21;137;109;,20.0,188;16;143;93;168;5;145;131;186;196;79;157;75;96;185;130;63;21;137;109;
185.0,20.0,96;75;21;157;79;196;137;109;131;145;104;168;93;143;30;16;184;188;67;164;,20.0,96;75;21;157;79;196;137;109;131;145;104;168;93;143;30;16;184;188;67;164;
186.0,20.0,5;130;63;113;197;17;188;184;74;72;16;143;93;168;145;131;196;79;157;75;,20.0,5;130;63;113;197;17;188;184;74;72;16;143;93;168;145;131;196;79;157;75;
187.0,20.0,3;162;190;174;147;35;132;179;101;45;114;117;4;85;44;65;150;48;95;56;,20.0,3;162;190;174;147;35;132;179;101;45;114;117;4;85;44;65;150;48;95;56;
188.0,20.0,184;16;143;93;168;5;145;131;186;196;79;157;75;96;185;130;63;21;137;109;,20.0,184;16;143;93;168;5;145;131;186;196;79;157;75;96;185;130;63;21;137;109;
189.0,20.0,155;140;180;106;181;57;176;163;36;175;54;77;129;125;102;146;122;64;124;112;,20.0,155;140;180;106;181;57;176;163;36;175;54;77;129;125;102;146;122;64;124;112;
190.0,20.0,3;187;174;162;147;179;35;132;114;101;45;117;85;44;4;65;150;48;95;23;,20.0,3;187;174;162;147;179;35;132;114;101;45;117;85;44;4;65;150;48;95;23;
191.0,20.0,84;121;7;87;116;15;90;8;1;177;61;111;29;141;9;91;165;149;68;156;,20.0,84;121;7;87;116;15;90;8;1;177;61;111;29;141;9;91;165;149;68;156;
192.0,20.0,134;159;133;105;47;169;34;138;62;144;32;10;24;158;26;108;18;128;152;103;,20.0,134;159;133;105;47;169;34;138;62;144;32;10;24;158;26;108;18;128;152;103;
193.0,20.0,81;2;31;183;107;28;56;95;48;20;150;195;65;4;69;117;11;45;101;60;,20.0,81;2;31;183;107;28;56;95;48;20;150;195;65;4;69;117;11;45;101;60;
194.0,20.0,119;166;0;49;40;41;178;135;33;46;198;112;115;64;170;146;102;125;129;171;,20.0,119;166;0;49;40;41;178;135;33;46;198;112;115;64;170;146;102;125;129;171;
195.0,20.0,20;69;11;60;28;107;123;183;160;182;82;124;2;193;81;31;122;77;54;175;,20.0,20;69;11;60;28;107;123;183;160;182;82;124;2;193;81;31;122;77;54;175;
196.0,20.0,79;157;75;131;96;185;145;168;21;137;109;93;104;143;16;184;188;30;67;164;,20.0,79;157;75;131;96;185;145;168;21;137;109;93;104;143;16;184;188;30;67;164;
197.0,20.0,17;74;72;113;63;130;186;5;188;184;16;161;143;93;172;22;168;145;131;27;,20.0,17;74;72;113;63;130;186;5;188;184;16;161;143;93;172;22;168;145;131;27;
198.0,20.0,112;46;64;135;146;102;125;129;41;36;176;181;40;180;155;119;189;194;166;140;,20.0,112;46;64;135;146;102;125;129;41;36;176;181;40;180;155;119;189;194;166;140;
199.0,20.0,12;142;92;27;22;172;161;72;74;17;197;113;63;130;186;5;188;184;16;143;,20.0,12;142;92;27;22;172;161;72;74;17;197;113;63;130;186;5;188;184;16;143;
